Receptor	Ligand	Binding Energy (REU)	Interface Contacts	Receptor Interface Residues	Ligand Interface Residues	Status	Timestamp
ompT_cleaned	Penetratin_Original_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000	-13.10	33	17	7	Success	2025-04-11 12:28:11
ompT_cleaned	Penetratin_Original_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000	1416.59	78	31	8	Success	2025-04-11 12:28:34
ompT_cleaned	Penetratin_Original_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000	-14.92	33	20	6	Success	2025-04-11 12:28:58
ompT_cleaned	Penetratin_Original_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	2352.82	66	26	9	Success	2025-04-11 12:29:22
ompT_cleaned	Penetratin_Original_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000	2269.09	71	22	9	Success	2025-04-11 12:29:46
ompT_cleaned	T1-14_Optimized_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	1389.81	80	34	9	Success	2025-04-11 12:30:09
ompT_cleaned	T1-14_Optimized_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000	1434.01	83	31	9	Success	2025-04-11 12:30:33
ompT_cleaned	T1-14_Optimized_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000	3024.12	94	34	8	Success	2025-04-11 12:30:58
ompT_cleaned	T1-14_Optimized_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	1992.79	82	34	8	Success	2025-04-11 12:31:22
ompT_cleaned	T1-14_Optimized_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	923.53	61	30	7	Success	2025-04-11 12:31:46
ompT_cleaned	T1-15_Optimized_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	-9.93	34	18	7	Success	2025-04-11 12:32:10
ompT_cleaned	T1-15_Optimized_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000	3365.07	93	36	8	Success	2025-04-11 12:32:34
ompT_cleaned	T1-15_Optimized_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000	1395.06	80	34	8	Success	2025-04-11 12:32:58
ompT_cleaned	T1-15_Optimized_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	1594.05	56	28	8	Success	2025-04-11 12:33:22
ompT_cleaned	T1-15_Optimized_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	1767.99	78	31	8	Success	2025-04-11 12:33:46
ompT_cleaned	T1-1_Optimized_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	483.09	52	26	8	Success	2025-04-11 12:34:10
ompT_cleaned	T1-1_Optimized_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000	2158.00	71	33	8	Success	2025-04-11 12:34:34
ompT_cleaned	T1-1_Optimized_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000	2941.94	94	37	8	Success	2025-04-11 12:34:59
ompT_cleaned	T1-1_Optimized_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	3174.30	92	40	9	Success	2025-04-11 12:35:23
ompT_cleaned	T1-1_Optimized_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	2620.39	66	32	8	Success	2025-04-11 12:35:48
ompT_cleaned	T1-2_Effective_No_Resistance_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	6700.45	100	38	9	Success	2025-04-11 12:36:12
ompT_cleaned	T1-2_Effective_No_Resistance_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000	1378.05	79	33	8	Success	2025-04-11 12:36:36
ompT_cleaned	T1-2_Effective_No_Resistance_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000	38.75	43	19	8	Success	2025-04-11 12:37:00
ompT_cleaned	T1-2_Effective_No_Resistance_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	1156.09	57	24	9	Success	2025-04-11 12:37:24
ompT_cleaned	T1-2_Effective_No_Resistance_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	1282.67	58	27	7	Success	2025-04-11 12:37:48
ompT_cleaned	T1-4_Optimized_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	517.43	57	29	8	Success	2025-04-11 12:38:12
ompT_cleaned	T1-4_Optimized_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000	2562.95	88	37	8	Success	2025-04-11 12:38:36
ompT_cleaned	T1-4_Optimized_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000	2970.55	106	39	9	Success	2025-04-11 12:39:01
ompT_cleaned	T1-4_Optimized_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	1430.22	74	35	9	Success	2025-04-11 12:39:24
ompT_cleaned	T1-4_Optimized_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	1693.70	72	31	9	Success	2025-04-11 12:39:49
ompT_cleaned	T1-5_Effective_No_Resistance_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000	2426.22	91	38	8	Success	2025-04-11 12:40:13
ompT_cleaned	T1-5_Effective_No_Resistance_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000	7146.79	98	36	9	Success	2025-04-11 12:40:38
ompT_cleaned	T1-5_Effective_No_Resistance_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000	-17.45	51	28	8	Success	2025-04-11 12:41:02
ompT_cleaned	T1-5_Effective_No_Resistance_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000	6403.41	111	46	8	Success	2025-04-11 12:41:26
ompT_cleaned	T1-5_Effective_No_Resistance_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	2155.52	54	29	7	Success	2025-04-11 12:41:51
ompT_cleaned	T1-6_Optimized_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	1912.42	72	32	8	Success	2025-04-11 12:42:15
ompT_cleaned	T1-6_Optimized_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000	666.31	87	29	8	Success	2025-04-11 12:42:39
ompT_cleaned	T1-6_Optimized_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000	2311.80	96	34	8	Success	2025-04-11 12:43:02
ompT_cleaned	T1-6_Optimized_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	605.22	49	26	7	Success	2025-04-11 12:43:26
ompT_cleaned	T1-6_Optimized_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	1281.71	71	30	8	Success	2025-04-11 12:43:50
ompT_cleaned	T1-7_Optimized_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	1711.43	65	29	8	Success	2025-04-11 12:44:14
ompT_cleaned	T1-7_Optimized_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000	3156.60	100	36	8	Success	2025-04-11 12:44:37
ompT_cleaned	T1-7_Optimized_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000	2212.67	76	30	8	Success	2025-04-11 12:45:02
ompT_cleaned	T1-7_Optimized_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	357.43	44	24	7	Success	2025-04-11 12:45:25
ompT_cleaned	T1-7_Optimized_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	1763.53	77	32	8	Success	2025-04-11 12:45:49
ompT_cleaned	T2-10_Effective_No_Resistance_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000	2805.11	83	31	8	Success	2025-04-11 12:46:14
ompT_cleaned	T2-10_Effective_No_Resistance_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000	2115.39	68	32	8	Success	2025-04-11 12:46:39
ompT_cleaned	T2-10_Effective_No_Resistance_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000	2939.23	78	34	9	Success	2025-04-11 12:47:03
ompT_cleaned	T2-10_Effective_No_Resistance_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000	11921.18	126	49	8	Success	2025-04-11 12:47:27
ompT_cleaned	T2-10_Effective_No_Resistance_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	2662.46	75	34	7	Success	2025-04-11 12:47:51
ompT_cleaned	T2-9_Most_Effective_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000	121.10	47	24	8	Success	2025-04-11 12:48:16
ompT_cleaned	T2-9_Most_Effective_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000	543.91	80	31	9	Success	2025-04-11 12:48:40
ompT_cleaned	T2-9_Most_Effective_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000	157.11	39	25	7	Success	2025-04-11 12:49:04
ompT_cleaned	T2-9_Most_Effective_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000	4451.15	102	37	8	Success	2025-04-11 12:49:28
ompT_cleaned	T2-9_Most_Effective_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	3202.08	76	35	8	Success	2025-04-11 12:49:52
