Sequence ID,Novel,Top Hit,Top Identity (%),Top E-value,Hit Count,Similar Hits
llama3_ompT_binder_1,True,,0,,0,0
llama3_ompT_binder_10,True,,0,,0,0
llama3_ompT_binder_100,True,,0,,0,0
llama3_ompT_binder_11,True,,0,,0,0
llama3_ompT_binder_12,True,,0,,0,0
llama3_ompT_binder_13,True,,0,,0,0
llama3_ompT_binder_14,True,,0,,0,0
llama3_ompT_binder_15,True,,0,,0,0
llama3_ompT_binder_16,True,,0,,0,0
llama3_ompT_binder_17,True,,0,,0,0
llama3_ompT_binder_18,True,,0,,0,0
llama3_ompT_binder_19,True,,0,,0,0
llama3_ompT_binder_2,True,,0,,0,0
llama3_ompT_binder_20,True,,0,,0,0
llama3_ompT_binder_21,True,,0,,0,0
llama3_ompT_binder_22,True,,0,,0,0
llama3_ompT_binder_23,True,,0,,0,0
llama3_ompT_binder_24,True,,0,,0,0
llama3_ompT_binder_25,True,,0,,0,0
llama3_ompT_binder_26,True,,0,,0,0
llama3_ompT_binder_27,True,,0,,0,0
llama3_ompT_binder_28,True,,0,,0,0
llama3_ompT_binder_29,True,,0,,0,0
llama3_ompT_binder_3,True,,0,,0,0
llama3_ompT_binder_30,True,,0,,0,0
llama3_ompT_binder_31,True,,0,,0,0
llama3_ompT_binder_32,True,,0,,0,0
llama3_ompT_binder_33,True,,0,,0,0
llama3_ompT_binder_34,True,,0,,0,0
llama3_ompT_binder_35,True,,0,,0,0
llama3_ompT_binder_36,True,,0,,0,0
llama3_ompT_binder_37,True,,0,,0,0
llama3_ompT_binder_38,True,,0,,0,0
llama3_ompT_binder_39,True,,0,,0,0
llama3_ompT_binder_4,True,,0,,0,0
llama3_ompT_binder_40,True,,0,,0,0
llama3_ompT_binder_41,True,,0,,0,0
llama3_ompT_binder_42,True,,0,,0,0
llama3_ompT_binder_43,True,,0,,0,0
llama3_ompT_binder_44,True,,0,,0,0
llama3_ompT_binder_45,True,,0,,0,0
llama3_ompT_binder_46,True,,0,,0,0
llama3_ompT_binder_47,True,,0,,0,0
llama3_ompT_binder_48,True,,0,,0,0
llama3_ompT_binder_49,True,,0,,0,0
llama3_ompT_binder_5,True,,0,,0,0
llama3_ompT_binder_50,True,,0,,0,0
llama3_ompT_binder_51,True,,0,,0,0
llama3_ompT_binder_52,True,,0,,0,0
llama3_ompT_binder_53,True,,0,,0,0
llama3_ompT_binder_54,True,,0,,0,0
llama3_ompT_binder_55,True,,0,,0,0
llama3_ompT_binder_56,True,,0,,0,0
llama3_ompT_binder_57,True,,0,,0,0
llama3_ompT_binder_58,True,,0,,0,0
llama3_ompT_binder_59,True,,0,,0,0
llama3_ompT_binder_6,True,,0,,0,0
llama3_ompT_binder_60,True,,0,,0,0
llama3_ompT_binder_61,True,,0,,0,0
llama3_ompT_binder_62,True,,0,,0,0
llama3_ompT_binder_63,True,,0,,0,0
llama3_ompT_binder_64,True,,0,,0,0
llama3_ompT_binder_65,True,,0,,0,0
llama3_ompT_binder_66,True,,0,,0,0
llama3_ompT_binder_67,True,,0,,0,0
llama3_ompT_binder_68,True,,0,,0,0
llama3_ompT_binder_69,True,,0,,0,0
llama3_ompT_binder_7,True,,0,,0,0
llama3_ompT_binder_70,True,,0,,0,0
llama3_ompT_binder_71,True,,0,,0,0
llama3_ompT_binder_72,True,,0,,0,0
llama3_ompT_binder_73,True,,0,,0,0
llama3_ompT_binder_74,True,,0,,0,0
llama3_ompT_binder_75,True,,0,,0,0
llama3_ompT_binder_76,True,,0,,0,0
llama3_ompT_binder_77,True,,0,,0,0
llama3_ompT_binder_78,True,,0,,0,0
llama3_ompT_binder_79,True,,0,,0,0
llama3_ompT_binder_8,True,,0,,0,0
llama3_ompT_binder_80,True,,0,,0,0
llama3_ompT_binder_81,True,,0,,0,0
llama3_ompT_binder_82,True,,0,,0,0
llama3_ompT_binder_83,True,,0,,0,0
llama3_ompT_binder_84,True,,0,,0,0
llama3_ompT_binder_85,True,,0,,0,0
llama3_ompT_binder_86,True,,0,,0,0
llama3_ompT_binder_87,True,,0,,0,0
llama3_ompT_binder_88,True,,0,,0,0
llama3_ompT_binder_89,True,,0,,0,0
llama3_ompT_binder_9,True,,0,,0,0
llama3_ompT_binder_90,True,,0,,0,0
llama3_ompT_binder_91,True,,0,,0,0
llama3_ompT_binder_92,True,,0,,0,0
llama3_ompT_binder_93,True,,0,,0,0
llama3_ompT_binder_94,True,,0,,0,0
llama3_ompT_binder_95,True,,0,,0,0
llama3_ompT_binder_96,True,,0,,0,0
llama3_ompT_binder_97,True,,0,,0,0
llama3_ompT_binder_98,True,,0,,0,0
llama3_ompT_binder_99,True,,0,,0,0
