Sequence ID,Novelty Status,Top Hit,Top Identity (%)
gemma2_ompT_binder_1,Novel,,0
gemma2_ompT_binder_10,Novel,,0
gemma2_ompT_binder_100,Novel,,0
gemma2_ompT_binder_11,Novel,,0
gemma2_ompT_binder_12,Novel,,0
gemma2_ompT_binder_13,Novel,,0
gemma2_ompT_binder_14,Unknown (BLAST failed),BLAST analysis failed,0
gemma2_ompT_binder_15,Unknown (BLAST failed),BLAST analysis failed,0
gemma2_ompT_binder_16,Novel,,0
gemma2_ompT_binder_17,Novel,,0
gemma2_ompT_binder_18,Novel,,0
gemma2_ompT_binder_19,Novel,,0
gemma2_ompT_binder_2,Novel,,0
gemma2_ompT_binder_20,Novel,,0
gemma2_ompT_binder_21,Novel,,0
