Receptor	Ligand	Binding Energy (REU)	Interface Contacts	Receptor Interface Residues	Ligand Interface Residues	Status	Timestamp
ompT_cleaned	deepseek_r1_ompT_binder_100_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000	503.05	93	31	11	Success	2025-04-03 03:41:36
ompT_cleaned	deepseek_r1_ompT_binder_100_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000	582.87	57	25	8	Success	2025-04-03 03:42:02
ompT_cleaned	deepseek_r1_ompT_binder_100_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000	15239.81	177	50	11	Success	2025-04-03 03:42:29
ompT_cleaned	deepseek_r1_ompT_binder_100_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000	2450.44	102	36	10	Success	2025-04-03 03:42:55
ompT_cleaned	deepseek_r1_ompT_binder_100_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	1768.70	83	35	9	Success	2025-04-03 03:43:21
ompT_cleaned	deepseek_r1_ompT_binder_10_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000	11998.95	147	49	9	Success	2025-04-03 03:43:46
ompT_cleaned	deepseek_r1_ompT_binder_10_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000	2786.24	101	37	10	Success	2025-04-03 03:44:11
ompT_cleaned	deepseek_r1_ompT_binder_10_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000	7027.51	142	47	10	Success	2025-04-03 03:44:36
ompT_cleaned	deepseek_r1_ompT_binder_10_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000	864.92	78	33	9	Success	2025-04-03 03:45:02
ompT_cleaned	deepseek_r1_ompT_binder_10_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000	4225.53	97	37	9	Success	2025-04-03 03:45:27
ompT_cleaned	deepseek_r1_ompT_binder_11_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000	4694.60	114	43	10	Success	2025-04-03 03:45:52
ompT_cleaned	deepseek_r1_ompT_binder_11_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000	1282.37	102	31	10	Success	2025-04-03 03:46:17
ompT_cleaned	deepseek_r1_ompT_binder_11_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000	153.83	50	22	8	Success	2025-04-03 03:46:42
